trial,accuracy,running_best
1,0.7172909184197024,0.7172909184197024
3,0.7062146892655368,0.7172909184197024
4,0.5544147843942505,0.7172909184197024
5,0.4948665297741273,0.7172909184197024
6,0.5894141829393628,0.7172909184197024
7,0.6551901336073997,0.7172909184197024
8,0.6338461538461538,0.7172909184197024
9,0.5035897435897436,0.7172909184197024
10,0.6757311441765008,0.7172909184197024
11,0.5570987654320988,0.7172909184197024
12,0.6908063687724705,0.7172909184197024
13,0.7051874678993323,0.7172909184197024
14,0.6503352243424445,0.7172909184197024
15,0.6384180790960452,0.7172909184197024
16,0.5547557840616967,0.7172909184197024
17,0.6851851851851852,0.7172909184197024
18,0.6745501285347044,0.7172909184197024
19,0.5143737166324436,0.7172909184197024
20,0.5766460905349794,0.7172909184197024
21,0.6402877697841727,0.7172909184197024
23,0.4524910118130457,0.7172909184197024
24,0.6111967128916281,0.7172909184197024
26,0.6100564391995895,0.7172909184197024
27,0.6741918932786044,0.7172909184197024
28,0.6680369989722508,0.7172909184197024
29,0.5282340862422998,0.7172909184197024
30,0.4191893278604413,0.7172909184197024
31,0.46687211093990755,0.7172909184197024
32,0.5495125705489995,0.7172909184197024
34,0.6139630390143738,0.7172909184197024
35,0.5566957414058491,0.7172909184197024
36,0.5565262076053443,0.7172909184197024
37,0.6019517205957884,0.7172909184197024
38,0.6663239074550128,0.7172909184197024
39,0.6226899383983573,0.7172909184197024
40,0.37320328542094455,0.7172909184197024
41,0.5326478149100257,0.7172909184197024
42,0.6253854059609455,0.7172909184197024
43,0.7089974293059126,0.7172909184197024
44,0.6894250513347022,0.7172909184197024
45,0.6201232032854209,0.7172909184197024
46,0.6435185185185185,0.7172909184197024
47,0.5727506426735218,0.7172909184197024
48,0.7024665981500514,0.7172909184197024
49,0.6465739309634209,0.7172909184197024
50,0.6712962962962963,0.7172909184197024
51,0.6719712525667351,0.7172909184197024
52,0.6423432682425488,0.7172909184197024
53,0.647663071391885,0.7172909184197024
54,0.731006160164271,0.731006160164271
55,0.6589625064201335,0.731006160164271
56,0.6584488957370314,0.731006160164271
57,0.7271794871794872,0.731006160164271
58,0.6008209338122114,0.731006160164271
59,0.6736788096459723,0.731006160164271
60,0.6642710472279261,0.731006160164271
61,0.6310380267214799,0.731006160164271
