class,precision,recall,f1_score,support
0,99.86910994764398,91.92771084337349,95.73400250941029,830
1,93.68512110726644,96.52406417112299,95.08340649692713,1122
2,92.27895392278954,77.59162303664921,84.30034129692832,955
3,91.78217821782178,95.76446280991735,93.73104145601617,968
4,92.14780600461894,84.0,87.88546255506607,950
5,93.96662387676508,91.95979899497488,92.95238095238095,796
6,84.88228004956629,92.44264507422402,88.50129198966408,741
7,82.01193520886616,95.15331355093967,88.09523809523809,1011
8,98.7410071942446,94.49225473321859,96.56992084432717,581
9,92.84731774415405,92.33926128590971,92.5925925925926,731
