parameter,importance
use_normalized_x,0.589799
use_cycle_count,0.098185
skel_threshold,0.062234
gap_minor_general,0.053675
use_angle_with_ox,0.041449
cost_minor,0.029466
cost_no_match,0.024516
use_normalized_y,0.022056
ged_timeout,0.01387
use_horizontal_direction,0.009311
gap_general_severe,0.00833
norm_angle,0.008156
norm_y,0.006774
norm_vdir,0.006492
simplification_epsilon,0.006389
norm_cycle,0.005617
norm_x,0.005203
cost_impossible,0.004211
norm_hdir,0.003529
use_vertical_direction,0.000739
