trial,accuracy,duration_s,cost_impossible,cost_minor,cost_no_match,gap_general_severe,gap_minor_general,ged_timeout,norm_angle,norm_cycle,norm_hdir,norm_x,norm_y,simplification_epsilon,skel_threshold
0,0.740760,124,32.50066778230339,0.25953046946896285,0.8580836121681995,0.08899863008405066,0.08900466011060913,8.119941307320987,324.81295456808857,5.834504186890968,0.5720457300353086,3.404460046972835,3.332290311184182,5.659969709057026,150
2,0.728674,195,32.50066778230339,0.25953046946896285,0.8580836121681995,0.08899863008405066,0.08900466011060913,8.119941307320987,324.81295456808857,5.834504186890968,0.5720457300353086,3.404460046972835,3.332290311184182,5.659969709057026,150
3,0.687564,323,14.333875784756225,0.1564847850358382,1.0912291401980418,0.15798625466052896,0.18118910790805948,6.3357302174610375,314.88695189253286,3.0083849131936975,1.782266451527921,1.5579754426081673,1.6685785941408726,2.917022549267169,100
4,0.512070,104,42.41456837579216,0.0662576444519992,0.8650515929852796,0.09263103092182289,0.20188621297535958,6.196411603741957,293.68893556755296,1.0371966270351112,1.5661481921067975,4.862528132298237,3.7335893924658445,4.962072844310212,120
5,0.502575,123,5.454857126926343,0.06203598239032644,1.462522284353982,0.11469499540000423,0.27733010051969553,8.841677431135615,312.77789290583405,5.832715452705072,1.1469905943393446,3.0802720847112433,2.6868411173731186,4.475884550556351,90
6,0.723907,156,5.699310014070045,0.37265598225809093,0.8452272889105381,0.0989957156047863,0.07212312551297988,14.33448835720608,208.99624703434995,2.462143296814741,3.4005812820317525,2.554709158757928,1.5853961270955836,4.989499894055426,150
7,0.504644,107,2.035867849937331,0.0760927252879198,0.9987156815341725,0.24306119232416434,0.2967217341501293,9.969656914740733,165.54937686415897,4.741986906772701,3.0515250881434555,4.261845713819337,3.3274293753904685,6.010984903770199,90
8,0.715681,124,5.696613722222484,0.2681543443896453,1.1109823217156622,0.06588958757150591,0.13272450621316229,7.943123013986999,175.11479164704335,3.097182088390721,3.605244599017143,3.9184247133522563,3.0502298854208525,6.315517129377968,90
9,0.723164,433,2.170523088530615,0.3198385129840964,1.2275410183585498,0.18068320734549853,0.17344889909109767,11.845692659452945,256.7998451445876,2.228957895919797,2.7274364394232316,1.4315657079732178,0.625716742746937,4.806385987847481,140
10,0.724563,240,3.3605292772340416,0.31444289849006707,1.089751452913768,0.06924497745719825,0.10719954137290562,13.983231213187024,318.77113614881404,5.293033246032447,2.716913147786482,4.718790609370292,3.732481518257668,4.051914615178148,100
11,0.732785,167,4.165524361876266,0.3326040543074219,0.9100519245276768,0.12950086874296596,0.2740228249808733,6.052270647746394,257.2569335412888,0.5382367179215488,3.5125570413972023,2.7084311545050253,3.7720590636899725,4.696711209578254,150
12,0.709794,426,19.22243164197907,0.1681653099912698,1.318790621743366,0.1308007330051888,0.2857274259781298,8.59152103463657,254.42218623740095,1.8848026270395029,3.8685655322973895,2.454518409517176,4.387128330883843,2.599326836668414,100
13,0.710757,608,37.216130520992834,0.26334751689296393,1.0786464642366114,0.06286968781249734,0.1756697558072154,7.309661407984466,200.83160701741508,5.921077497608304,2.2130846609714707,1.9582475626678897,1.0795794883648924,2.1844347367726638,100
14,0.717738,292,11.220465175247261,0.30487572201415086,1.4335297107608946,0.20807645764839489,0.14194578317981332,11.393491021464664,158.56277972650042,1.5258518071991982,1.6227302274010755,1.3611590802176332,3.841209982356952,3.1881877199619986,140
15,0.750899,595,18.48925887700413,0.22923257040474837,0.9743664290049915,0.21129319760236248,0.10662394379948449,10.49982237507066,173.8294394605237,2.3758649307764217,0.9813233045109764,2.5469413852021496,4.246919954946938,2.0829391446392806,130
16,0.749486,440,18.949920668513517,0.2131673968420515,1.3047560412587564,0.1672793905315696,0.2397066722950561,9.48963701803367,226.78961784479344,4.8079697356431,2.281075572450188,2.4632102553121493,1.646175229587325,2.9183943243184656,120
17,0.749357,185,2.545066131830707,0.18231026813594747,1.3630395583031156,0.1777492212767574,0.2108684636006556,11.43582360057847,229.2093861257555,2.9956214576617524,2.4136298958079005,3.314381268127279,2.226209156575865,4.303668810098948,120
18,0.757591,267,20.988152459256952,0.26322601049013555,1.246860476652806,0.16936634737605577,0.22509099316784414,9.376511628350173,262.0173772836004,2.757370325523284,1.6363703159798968,3.310738463488393,3.10587582155341,3.453987323958354,130
19,0.717369,150,6.647647110295968,0.16517060735614264,1.526131669168322,0.1955982342612489,0.14917218430707668,14.812132175966289,215.96112307977836,3.9832634026100706,2.096263228431284,2.708556192288799,2.589924374953781,4.139601098599847,110
20,0.605967,143,26.6721544315794,0.11082400206097368,1.6465321819705132,0.1779281961140991,0.17283247137304691,9.669915180904297,264.32342168765973,3.4819429865282947,1.3210808919227266,3.5578171474332203,2.3237908066179163,4.084856867598312,110
21,0.761171,279,11.550801417220551,0.2343737458482112,1.466545696712358,0.16300947708192387,0.178948296825726,10.862905440595567,263.87130720666715,3.233115271731458,2.3839754974606504,3.406056689742499,2.8253328840806025,4.096390188048774,130
22,0.742416,160,27.927409642394565,0.18504847075832614,1.4817170790145548,0.21220053061529065,0.14791212410650528,7.572937555886028,271.07124962018025,3.507252846116574,1.4145424082394196,3.7477746860701435,2.7613493195009196,4.540678147036698,130
