trial,accuracy,state,duration_seconds,cost_impossible,cost_minor,cost_no_match,gap_general_severe,gap_minor_general,ged_timeout,norm_angle,norm_cycle,norm_hdir,norm_vdir,norm_x,norm_y,simplification_epsilon,skel_threshold,use_angle_with_ox,use_cycle_count,use_horizontal_direction,use_normalized_x,use_normalized_y,use_vertical_direction
31,0.6326,COMPLETE,148.9,10.061628,0.232834,1.446066,0.16975,0.146547,7.974115,197.910888,4.627404,2.858373,2.318142,0.821075,3.1007,5.744936,180,1,0,1,1,1,1
32,0.5341,COMPLETE,283.8,11.115118,0.241769,1.643433,0.205744,0.238389,6.269049,98.728688,2.528671,0.499946,2.85546,1.939791,3.074748,4.412589,180,1,1,0,0,0,1
33,0.3821,COMPLETE,242.7,4.707321,0.269692,1.830268,0.204435,0.167559,6.717596,252.675407,2.046306,1.872731,2.001855,1.011634,2.551695,4.484994,170,0,0,0,1,0,0
34,0.5524,COMPLETE,167.6,32.12778,0.163003,1.441113,0.168588,0.173698,9.718079,307.89457,5.109371,2.90977,1.586171,3.705117,3.360801,5.483764,190,1,1,0,0,0,0
35,0.5772,COMPLETE,148.3,3.226965,0.286162,1.611046,0.131103,0.119844,1.701408,207.512524,3.331325,1.750805,2.268797,2.31826,3.941926,5.818433,130,1,1,1,0,0,0
36,0.6848,COMPLETE,792.9,34.789264,0.226214,1.728057,0.160193,0.196522,7.117176,204.746745,4.584601,0.757673,2.849435,2.962229,4.377842,1.942447,140,1,1,1,1,0,1
37,0.6422,COMPLETE,199.4,40.82817,0.246257,1.515843,0.203685,0.190148,8.80328,209.019687,5.598732,1.251155,2.027392,2.847783,3.33314,4.999514,150,1,0,1,1,0,1
38,0.5362,COMPLETE,223.8,7.74226,0.246239,1.768054,0.207207,0.188203,6.031124,203.740388,2.706127,2.467502,1.296406,3.161697,3.16854,4.478555,140,0,1,0,0,0,1
39,0.5968,COMPLETE,454.3,82.58725,0.223164,1.562749,0.190739,0.152761,10.068071,92.80154,2.953794,1.44014,1.579688,1.495346,1.649732,3.655859,140,0,1,0,1,0,0
40,0.6826,COMPLETE,165.7,10.758999,0.295364,1.378504,0.08893,0.115846,10.245884,179.523254,4.154884,1.94915,2.764408,2.773535,3.401647,4.749497,170,0,0,1,1,1,0
41,0.6952,COMPLETE,279.3,55.832783,0.238736,1.922335,0.223992,0.165246,5.736916,283.189642,2.041929,1.976647,1.606887,1.625332,1.4526,4.393579,150,1,1,0,1,0,1
42,0.6496,COMPLETE,98.2,29.822746,0.219977,1.386354,0.219602,0.206364,10.568288,150.922942,2.296561,1.539591,1.083329,2.364053,3.248656,7.030468,140,0,1,0,1,1,0
43,0.6831,COMPLETE,108.1,6.330216,0.191696,1.647116,0.114755,0.207768,5.938998,301.60904,4.317197,1.617112,3.738124,1.721126,3.41336,5.485278,160,1,1,1,1,1,1
44,0.6853,COMPLETE,293.8,7.019113,0.277277,1.435019,0.214939,0.116949,9.181067,227.795824,4.42476,1.766911,2.259415,3.387734,3.633822,4.433552,150,0,1,1,1,0,1
45,0.6472,COMPLETE,143.9,22.123875,0.337927,1.585022,0.149996,0.200363,9.317825,212.719688,4.27054,2.420085,2.071815,2.196223,1.773195,5.975817,170,1,1,0,1,0,1
46,0.7025,COMPLETE,361.6,48.721349,0.304929,1.723114,0.149836,0.11567,9.232155,278.966086,3.395437,2.075163,2.939931,1.955042,3.076758,3.995046,160,1,1,1,1,0,1
47,0.4451,COMPLETE,1321.9,71.29072,0.246945,1.831373,0.200403,0.169119,7.902865,153.212846,4.826347,1.688422,2.145522,1.840979,2.862044,2.042679,130,1,1,1,0,0,1
48,0.6316,COMPLETE,542.9,14.031507,0.309289,1.34065,0.168852,0.156553,9.28462,246.01614,5.012649,1.995208,3.29813,2.566975,2.945253,2.454737,140,1,1,1,1,0,0
49,0.4859,COMPLETE,1071.7,50.912464,0.23152,1.853073,0.161499,0.166598,7.294327,322.469815,3.537462,1.365433,2.182941,1.749294,2.851931,2.496141,140,1,1,0,0,0,1
50,0.6579,COMPLETE,763.9,13.799151,0.300048,1.924022,0.265862,0.151691,4.826913,310.927748,5.360452,1.130322,1.144242,1.15459,2.54072,2.08507,130,1,1,1,1,0,1
51,0.727,COMPLETE,264.4,29.182268,0.251591,1.207728,0.22718,0.231031,7.239848,190.984391,3.594183,1.48745,1.929629,2.770231,3.551686,4.114664,120,1,1,1,1,0,1
52,0.6276,COMPLETE,597.8,33.468494,0.293821,1.707155,0.114469,0.216627,5.93965,214.336024,2.454203,1.853982,1.937243,2.40704,2.78252,2.833837,130,1,1,0,1,0,0
53,0.4964,COMPLETE,760.5,27.725488,0.300314,1.575092,0.193031,0.082831,4.179045,259.281404,3.595334,2.161993,2.260572,1.818371,1.59635,2.920186,150,1,1,1,0,0,1
54,0.6032,COMPLETE,146.8,30.313917,0.289819,1.884904,0.206641,0.087117,7.086575,274.025002,1.774473,1.674583,2.566109,1.409617,2.804146,5.527945,160,0,1,0,1,0,0
55,0.7028,COMPLETE,191.9,7.345079,0.230484,1.678649,0.205283,0.205611,9.57653,197.627682,3.418734,1.762483,2.494275,2.046665,3.17203,5.186654,190,1,1,1,1,0,0
56,0.6951,COMPLETE,217.5,37.822384,0.326631,1.925316,0.151195,0.246955,10.068059,357.967933,3.026657,2.433098,2.721401,3.590188,2.520649,4.876491,150,1,1,1,1,0,1
57,0.6831,COMPLETE,1118.4,94.60306,0.260372,1.40908,0.224325,0.161245,9.242449,192.37736,3.436196,1.09327,1.958798,2.504643,3.920384,2.145491,140,1,1,1,1,0,1
58,0.6459,COMPLETE,484.4,9.340858,0.29818,1.522141,0.238365,0.202663,9.732059,285.535002,2.16281,2.287592,1.537859,2.611027,2.67485,3.137006,150,1,1,1,1,0,0
59,0.7023,COMPLETE,762.4,15.310842,0.23793,1.534416,0.222646,0.247396,13.061829,250.077234,3.797465,2.414611,2.591828,2.006412,3.594523,2.492954,140,1,1,1,1,0,1
60,0.6246,COMPLETE,179.0,2.581557,0.229795,1.240161,0.245732,0.229971,11.584745,150.010439,2.882308,2.025171,2.173083,2.335818,4.899244,4.763281,150,1,0,1,1,0,0
61,0.7204,COMPLETE,136.0,15.318364,0.21326,1.422031,0.201262,0.209893,9.670558,250.961815,2.404328,1.823921,2.311107,3.333673,2.67541,5.115639,130,1,1,1,1,0,0
62,0.5306,COMPLETE,326.1,3.315043,0.292298,1.620326,0.099311,0.175187,10.249258,203.217858,4.152317,2.063014,2.174477,2.157547,1.993279,3.91885,140,1,1,1,0,0,0
63,0.7006,COMPLETE,411.4,18.307409,0.234735,1.372147,0.202373,0.207688,5.809647,214.73321,3.639432,0.814297,2.07301,3.000631,3.8952,2.961697,150,1,1,1,1,0,0
64,0.594,COMPLETE,95.5,5.320577,0.352983,1.730534,0.181732,0.204018,11.597831,244.686972,4.48969,1.403867,2.044583,3.214342,2.380497,8.105065,160,1,0,1,1,0,0
65,0.6795,COMPLETE,426.0,31.747515,0.282499,1.1013,0.243773,0.254854,7.414841,251.793001,4.903425,1.292661,1.605675,2.593577,3.275402,2.759962,140,1,1,1,1,0,1
66,0.6302,COMPLETE,189.2,65.120542,0.317847,1.291675,0.191336,0.225727,10.949555,211.484217,3.552576,0.547617,2.29912,2.788754,1.761205,4.594996,140,1,1,0,1,0,0
67,0.6516,COMPLETE,226.2,42.719284,0.362908,1.635081,0.222366,0.187979,10.133618,166.349251,2.71222,1.513859,2.053832,2.671393,2.635822,4.647656,140,1,1,1,1,0,0
68,0.6759,COMPLETE,199.6,60.934969,0.174693,1.605711,0.167178,0.260394,8.386137,260.655579,3.854412,2.2862,2.554287,2.155638,3.289075,3.978283,140,1,1,1,1,0,1
69,0.714,COMPLETE,241.6,6.539904,0.268206,1.173374,0.223772,0.201253,8.960353,180.138195,3.941017,1.140567,2.467391,2.908327,3.129255,3.853969,160,1,1,1,1,0,1
70,0.7305,COMPLETE,132.3,14.900621,0.252969,1.267024,0.282281,0.236685,7.74989,188.5763,3.775064,1.212605,2.758515,3.504801,2.513934,4.957331,150,1,1,1,1,0,1
71,0.3446,COMPLETE,241.9,32.58716,0.247561,1.62275,0.253724,0.178032,8.615563,306.188739,2.691072,1.944814,2.002089,2.991495,2.818841,4.82488,140,1,0,1,0,0,0
72,0.7211,COMPLETE,284.4,28.725521,0.206434,1.208656,0.175462,0.225444,11.983647,232.224344,3.697817,1.736419,2.20179,1.607053,4.135077,3.283197,150,1,1,1,1,0,0
73,0.6038,COMPLETE,937.2,48.350583,0.199924,1.331368,0.186027,0.233356,9.286113,311.398225,2.270622,1.800422,2.627914,2.984824,3.82134,1.997713,170,0,1,1,1,0,0
74,0.6329,COMPLETE,154.9,21.778166,0.107364,1.469854,0.206121,0.21592,6.017994,166.695097,4.209293,1.847808,2.741828,3.404215,2.298973,4.492285,110,0,1,1,1,0,0
75,0.722,COMPLETE,162.5,33.437029,0.219756,1.420347,0.229868,0.194166,8.012591,304.500261,2.224702,1.582126,2.373507,3.222352,2.840614,4.598157,150,1,1,1,1,0,0
76,0.7251,COMPLETE,205.7,19.880232,0.204657,1.475993,0.205443,0.191719,9.023426,197.970805,3.994781,2.403316,2.218858,2.236849,3.280224,4.10592,140,1,1,1,1,0,1
