model,budget,n_seeds,accuracy,accuracy_sd,precision,precision_sd,recall,recall_sd,f1,f1_sd
svm,single_fit,1,79.69683050068902,,80.5846265563612,,78.94899488961376,,78.50434778415523,
nearest_centroid,single_fit,1,75.17225539733579,,75.84024865539295,,74.37022126241506,,74.7533765278934,
knn_k1,single_fit,1,73.08222324299494,,73.13591235831983,,71.70463217029312,,71.76303257564356,
knn_k3,single_fit,1,71.17593017914561,,71.23884988310658,,69.55804044900032,,69.71029628824597,
knn_k5,single_fit,1,71.70418006430869,,72.01600018866529,,69.85435422374438,,70.14066526109468,
mlp,1epoch,5,67.13137344970141,5.44415114332931,72.16356364941308,3.834234110879428,64.77754392023941,5.315550851873688,62.9112189686759,6.4003645490439105
mlp,converged,5,75.70509875976114,3.2154607420641743,77.51741051296564,2.071832080302427,74.5065036707548,3.372492051835843,74.58904626935858,3.14602278161583
cnn,1epoch,5,59.00321543408361,6.470192370480071,64.88917262698227,5.734693435031529,57.14097626515343,6.8644253603798315,52.36699506520993,9.405635455237944
cnn,converged,5,75.32613688562242,1.6589386218405735,77.10221496889807,1.0777156974201691,74.1206655538841,1.5265280755536348,73.94517844775575,1.4018780957818968
