class,precision,recall,f1_score,support
0,100.0,86.98795180722891,93.04123711340206,830
1,89.77176669484362,94.56812110418522,92.10754553339116,1123
2,88.08446455505279,61.15183246073298,72.18788627935723,955
3,92.16799091940976,83.88429752066115,87.83126014061655,968
4,95.18072289156626,83.15789473684211,88.76404494382022,950
5,93.96067415730337,84.04522613065326,88.72679045092838,796
6,84.72906403940887,92.84750337381917,88.60270444301352,741
7,65.11936339522546,97.13155291790306,77.96744739976181,1011
8,99.77272727272727,75.6896551724138,86.07843137254902,580
9,92.4,94.8016415868673,93.58541525995948,731
