class,precision,recall,f1_score,support
0,100.0,88.67469879518072,93.99744572158365,830
1,90.22108843537416,94.64763603925067,92.38136700043536,1121
2,87.21461187214612,60.0,71.09181141439205,955
3,91.78690344062154,85.43388429752066,88.49652220438738,968
4,95.97069597069597,82.64984227129337,88.8135593220339,951
5,93.67088607594937,83.66834170854271,88.38752488387524,796
6,83.21256038647343,92.98245614035088,87.82664117272148,741
7,66.17350369872226,97.3293768545994,78.78302642113691,1011
8,99.76958525345621,74.6551724137931,85.4043392504931,580
9,91.71052631578948,95.21857923497268,93.43163538873995,732
