trial_number,value,fold,diagnostic_weight_epsilon,norm_normalized_x,norm_normalized_y,norm_distance_to_centroid,norm_horizontal_direction,norm_vertical_direction,norm_angle_with_ox,norm_junction_angle_min,norm_length_ratio_to_max,norm_eccentricity,norm_avg_neighbor_vector_length,norm_neighbor_endpoint_count,norm_neighbor_junction_count
166,0.771047,2,0.9605,2.1419,4.0425,1.4422,2.1711,3.6751,179.2248,157.2063,2.2647,14.4969,61.7353,7.3135,2.455
167,0.776004,3,1.1047,3.2492,3.9086,1.4268,2.7305,4.4881,171.0347,197.6972,2.9804,8.606,63.6631,6.079,4.2935
168,0.768004,0,0.9999,1.5239,5.492,2.1383,2.9924,3.3971,135.7063,199.2695,2.5472,13.0092,57.3542,4.5714,3.5072
169,0.778807,1,1.0804,3.641,4.8666,2.2403,2.2383,3.796,153.1225,165.6549,2.9279,11.8365,67.276,5.9032,1.9612
170,0.773498,2,0.8573,1.9763,5.4695,1.3346,2.7504,3.6983,152.9755,185.8196,2.4519,11.286,62.0296,5.1676,4.8917
171,0.774177,3,1.0398,2.856,5.0135,0.5403,2.1368,4.8029,105.3374,204.4023,3.1779,13.2574,67.1848,7.2482,3.4986
172,0.771091,0,1.3573,3.5353,5.043,1.1793,3.5449,4.5198,163.2741,190.1891,2.1658,12.6612,71.8824,4.6518,3.7381
173,0.779835,1,0.8925,2.5746,2.3676,1.6339,1.5198,3.1775,148.7926,204.8211,2.7839,12.8563,54.7138,4.6848,2.387
174,0.774293,2,0.8982,3.0054,3.9912,1.3434,1.0794,4.3245,150.9032,179.1425,2.6079,15.1029,62.5076,5.9748,4.5573
175,0.775206,3,0.8308,3.6221,2.0317,1.5613,2.1294,2.82,187.204,156.0392,2.9927,8.3442,62.5177,5.2812,2.741
176,0.774691,0,1.1341,3.729,3.4912,1.1709,2.7405,3.8481,140.492,218.1948,3.5308,13.9131,56.3493,7.608,2.5375
177,0.786082,1,1.2329,2.5814,4.0503,1.7116,3.3619,3.5694,178.234,241.1164,2.1636,15.4117,78.0565,5.2296,1.4769
178,0.772354,2,0.8769,3.3547,3.7768,1.3131,2.4083,3.3788,143.5726,184.4329,3.7232,12.643,65.7185,6.9014,1.556
